signature,prime,survivor_triple_count,nonsingular_curve_count,singular_skipped_count,possible_traces,trace_count,sample_triples,enumeration_status
5-4-5,3,1,1,0,0,1,"u=1,v=1,w=2,a=0",completed
5-4-5,7,15,15,0,-4;0;4,3,"u=1,v=1,w=2,a=0;u=1,v=2,w=3,a=-4;u=1,v=4,w=5,a=4;u=2,v=1,w=3,a=4;u=2,v=2,w=4,a=0;u=2,v=4,w=6,a=-4;u=3,v=1,w=4,a=0;u=3,v=2,w=5,a=0",completed
5-4-5,13,33,33,0,-6;-2;2;6,4,"u=1,v=1,w=2,a=6;u=1,v=3,w=4,a=-2;u=1,v=9,w=10,a=-2;u=2,v=1,w=3,a=-2;u=2,v=3,w=5,a=2;u=2,v=9,w=11,a=-6;u=3,v=1,w=4,a=-2;u=3,v=3,w=6,a=6",completed
5-4-5,17,60,60,0,-6;-2;2;6,4,"u=1,v=1,w=2,a=2;u=1,v=4,w=5,a=2;u=1,v=13,w=14,a=2;u=2,v=1,w=3,a=-6;u=2,v=4,w=6,a=-6;u=2,v=13,w=15,a=2;u=2,v=16,w=1,a=2;u=3,v=1,w=4,a=2",completed
5-4-5,19,153,153,0,-8;-4;0;4;8,5,"u=1,v=1,w=2,a=0;u=1,v=4,w=5,a=-4;u=1,v=5,w=6,a=4;u=1,v=6,w=7,a=-4;u=1,v=7,w=8,a=8;u=1,v=9,w=10,a=0;u=1,v=11,w=12,a=-8;u=1,v=16,w=17,a=4",completed
5-4-5,23,231,231,0,-8;-4;0;4;8,5,"u=1,v=1,w=2,a=0;u=1,v=2,w=3,a=0;u=1,v=3,w=4,a=-8;u=1,v=4,w=5,a=-4;u=1,v=6,w=7,a=4;u=1,v=8,w=9,a=8;u=1,v=9,w=10,a=-4;u=1,v=12,w=13,a=0",completed
5-4-5,29,189,189,0,-10;-6;-2;2;6;10,6,"u=1,v=1,w=2,a=-10;u=1,v=7,w=8,a=6;u=1,v=16,w=17,a=6;u=1,v=20,w=21,a=6;u=1,v=23,w=24,a=-2;u=1,v=24,w=25,a=-2;u=1,v=25,w=26,a=6;u=2,v=1,w=3,a=2",completed
5-4-5,31,15,15,0,-8;-4;0;4;8,5,"u=1,v=4,w=5,a=8;u=1,v=5,w=6,a=-4;u=1,v=25,w=26,a=4;u=5,v=1,w=6,a=4;u=5,v=20,w=25,a=8;u=5,v=25,w=30,a=-4;u=6,v=19,w=25,a=0;u=6,v=20,w=26,a=-8",completed
5-4-5,37,315,315,0,-10;-6;-2;2;6;10,6,"u=1,v=1,w=2,a=-2;u=1,v=7,w=8,a=-2;u=1,v=9,w=10,a=6;u=1,v=10,w=11,a=-10;u=1,v=12,w=13,a=-2;u=1,v=16,w=17,a=-2;u=1,v=26,w=27,a=-10;u=1,v=33,w=34,a=6",completed
5-4-5,41,14,14,0,-6;2;10,3,"u=1,v=31,w=32,a=-6;u=1,v=37,w=38,a=-6;u=3,v=37,w=40,a=-6;u=9,v=18,w=27,a=2;u=9,v=23,w=32,a=10;u=9,v=31,w=40,a=-6;u=14,v=18,w=32,a=2;u=27,v=23,w=9,a=2",completed
5-4-5,43,861,861,0,-12;-8;-4;0;4;8;12,7,"u=1,v=1,w=2,a=0;u=1,v=4,w=5,a=8;u=1,v=6,w=7,a=-8;u=1,v=9,w=10,a=12;u=1,v=10,w=11,a=4;u=1,v=11,w=12,a=-8;u=1,v=13,w=14,a=-4;u=1,v=14,w=15,a=4",completed
5-4-5,47,1035,1035,0,-12;-8;-4;0;4;8;12,7,"u=1,v=1,w=2,a=0;u=1,v=2,w=3,a=8;u=1,v=3,w=4,a=0;u=1,v=4,w=5,a=-4;u=1,v=6,w=7,a=0;u=1,v=7,w=8,a=-8;u=1,v=8,w=9,a=0;u=1,v=9,w=10,a=-12",completed
5-4-5,53,663,663,0,-14;-10;-6;-2;2;6;10;14,8,"u=1,v=1,w=2,a=14;u=1,v=10,w=11,a=6;u=1,v=13,w=14,a=-2;u=1,v=15,w=16,a=-10;u=1,v=16,w=17,a=6;u=1,v=24,w=25,a=6;u=1,v=28,w=29,a=6;u=1,v=36,w=37,a=6",completed
5-4-5,59,1653,1653,0,-12;-8;-4;0;4;8;12,7,"u=1,v=1,w=2,a=0;u=1,v=3,w=4,a=4;u=1,v=4,w=5,a=4;u=1,v=5,w=6,a=-8;u=1,v=7,w=8,a=0;u=1,v=9,w=10,a=8;u=1,v=12,w=13,a=8;u=1,v=15,w=16,a=-4",completed
