signature,level,prime,selected,exclusion_reason,level_prime_factors
5-4-5,220,2,False,divides_target_level,2;5;11
5-4-5,220,3,True,selected_good_prime,2;5;11
5-4-5,220,5,False,divides_target_level,2;5;11
5-4-5,220,7,True,selected_good_prime,2;5;11
5-4-5,220,11,False,divides_target_level,2;5;11
5-4-5,220,13,True,selected_good_prime,2;5;11
5-4-5,220,17,True,selected_good_prime,2;5;11
5-4-5,220,19,True,selected_good_prime,2;5;11
5-4-5,220,23,True,selected_good_prime,2;5;11
5-4-5,220,29,True,selected_good_prime,2;5;11
5-4-5,220,31,True,selected_good_prime,2;5;11
5-4-5,220,37,True,selected_good_prime,2;5;11
5-4-5,220,41,True,selected_good_prime,2;5;11
5-4-5,220,43,True,selected_good_prime,2;5;11
5-4-5,220,47,True,selected_good_prime,2;5;11
5-4-5,220,53,True,selected_good_prime,2;5;11
5-4-5,220,59,True,selected_good_prime,2;5;11
5-4-5,220,61,True,selected_good_prime,2;5;11
5-4-5,220,67,True,selected_good_prime,2;5;11
5-4-5,220,71,True,selected_good_prime,2;5;11
5-4-5,220,73,True,selected_good_prime,2;5;11
5-4-5,220,79,True,selected_good_prime,2;5;11
5-4-5,220,83,True,selected_good_prime,2;5;11
5-4-5,220,89,True,selected_good_prime,2;5;11
5-4-5,220,97,True,selected_good_prime,2;5;11
