signature,prime,residue_unit_solution_count,zero_A_only_count,zero_B_only_count,zero_C_only_count,zero_AB_count,zero_AC_count,zero_BC_count,zero_ABC_count,zero_support_solution_count,power_image_unit_survivor_count,nonsingular_frey_reduction_count,singular_or_bad_reduction_count,cases_excluded_from_trace_comparison,trace_comparison_assumes_q_not_dividing_ABC,coverage_label
5-4-5,3,2,2,2,2,0,0,0,1,7,1,1,0,7,True,local_coverage_gap
5-4-5,7,30,6,6,6,0,0,0,1,19,15,15,0,19,True,local_coverage_gap
5-4-5,13,132,12,12,12,0,0,0,1,37,33,33,0,37,True,local_coverage_gap
5-4-5,17,240,16,16,16,0,0,0,1,49,60,60,0,49,True,local_coverage_gap
5-4-5,19,306,18,18,18,0,0,0,1,55,153,153,0,55,True,local_coverage_gap
5-4-5,23,462,22,22,22,0,0,0,1,67,231,231,0,67,True,local_coverage_gap
5-4-5,29,756,28,28,28,0,0,0,1,85,189,189,0,85,True,local_coverage_gap
5-4-5,31,750,30,150,30,0,0,0,1,211,15,15,0,211,True,local_coverage_gap
5-4-5,37,1260,36,36,36,0,0,0,1,109,315,315,0,109,True,local_coverage_gap
5-4-5,41,1400,40,200,40,0,0,0,1,281,14,14,0,281,True,local_coverage_gap
5-4-5,43,1722,42,42,42,0,0,0,1,127,861,861,0,127,True,local_coverage_gap
5-4-5,47,2070,46,46,46,0,0,0,1,139,1035,1035,0,139,True,local_coverage_gap
5-4-5,53,2652,52,52,52,0,0,0,1,157,663,663,0,157,True,local_coverage_gap
5-4-5,59,3306,58,58,58,0,0,0,1,175,1653,1653,0,175,True,local_coverage_gap
5-4-5,61,3300,60,300,60,0,0,0,1,421,33,33,0,421,True,local_coverage_gap
5-4-5,67,4290,66,66,66,0,0,0,1,199,2145,2145,0,199,True,local_coverage_gap
5-4-5,71,4550,70,350,70,0,0,0,1,491,91,91,0,491,True,local_coverage_gap
5-4-5,73,5112,72,72,72,0,0,0,1,217,1278,1278,0,217,True,local_coverage_gap
5-4-5,79,6006,78,78,78,0,0,0,1,235,3003,3003,0,235,True,local_coverage_gap
5-4-5,83,6642,82,82,82,0,0,0,1,247,3321,3321,0,247,True,local_coverage_gap
5-4-5,89,7656,88,88,88,0,0,0,1,265,1914,1914,0,265,True,local_coverage_gap
5-4-5,97,9120,96,96,96,0,0,0,1,289,2280,2280,0,289,True,local_coverage_gap
